(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07XSFNKG3,B09TGHDS86,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, Large",87,3,0.36%,1.37%,121,4,0.40%,1.49%,100.00%,100.00%,17,0,19.54%,0.00%,$595.00,$0.00,17,0
B07XSFNKG3,B09TGL3NJW,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, Medium",109,1,0.45%,0.46%,150,1,0.49%,0.37%,100.00%,0.00%,12,0,11.01%,0.00%,$420.00,$0.00,12,0
B00KZ1DH8G,B00WKF9UV8,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Teal, Medium",287,1,1.19%,0.46%,415,1,1.36%,0.37%,100.00%,0.00%,8,0,2.79%,0.00%,$200.00,$0.00,8,0
B097S5DHZZ,B09TGK6LDR,"Southern Marsh Men’s Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, Large",117,0,0.49%,0.00%,146,0,0.48%,0.00%,100.00%,0.00%,8,0,6.84%,0.00%,$200.00,$0.00,8,0
B00KZ1DH8G,B00K3C5VA4,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Bimini Green, Large",130,1,0.54%,0.46%,169,1,0.55%,0.37%,100.00%,0.00%,7,0,5.38%,0.00%,$245.00,$0.00,7,0
B06WLHVKVJ,B00VTWHSK8,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Breaker Blue, Large",71,0,0.30%,0.00%,84,0,0.28%,0.00%,100.00%,0.00%,7,0,9.86%,0.00%,$210.00,$0.00,7,0
B097S5DHZZ,B09TGG2BZF,"Southern Marsh Men’s Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, X-Large",71,2,0.30%,0.91%,92,3,0.30%,1.12%,100.00%,0.00%,7,0,9.86%,0.00%,$175.00,$0.00,7,0
B07XSFNKG3,B09TGHTPQD,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, X-Large",217,3,0.90%,1.37%,280,5,0.92%,1.86%,100.00%,0.00%,7,0,3.23%,0.00%,$245.00,$0.00,7,0
B00KZ1DH8G,B00K3C6374,"Southern Marsh Men's Authentic Heritage Florida T-Shirt, Short Sleeve Tee, Bimini Green, Small",138,0,0.57%,0.00%,163,0,0.54%,0.00%,100.00%,0.00%,6,0,4.35%,0.00%,$210.00,$0.00,6,0
B097S37XXZ,B09TGJFK5N,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, X-Large",25,0,0.10%,0.00%,39,0,0.13%,0.00%,100.00%,0.00%,6,0,24.00%,0.00%,$240.00,$0.00,5,0
B00KZ1DH8G,B01NAM5M7V,"Southern Marsh Men’s Authentic T-Shirt, Short Sleeve Tee, Washed Moss Blue, XX-Large",34,0,0.14%,0.00%,49,0,0.16%,0.00%,100.00%,0.00%,4,0,11.76%,0.00%,$140.00,$0.00,4,0
B09TG8HQDR,B09TGFX814,"Southern Marsh Men's Teal Takeoff T-Shirt, Short Sleeve Tee, Washed Slate, Medium",38,1,0.16%,0.46%,47,1,0.15%,0.37%,100.00%,100.00%,4,1,10.53%,100.00%,$140.00,$35.00,4,1
B097S37XXZ,B09TGJK8Z7,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, Medium",37,0,0.15%,0.00%,53,0,0.17%,0.00%,100.00%,0.00%,4,0,10.81%,0.00%,$160.00,$0.00,4,0
B08W22YKBG,B00JMW0Q1K,"Southern Marsh Visor, Navy with White, 0",40,2,0.17%,0.91%,66,3,0.22%,1.12%,100.00%,100.00%,3,0,7.50%,0.00%,$45.00,$0.00,3,0
B06WLHVKVJ,B01LDG4SV6,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Navy, Medium",30,0,0.12%,0.00%,35,0,0.11%,0.00%,100.00%,0.00%,3,0,10.00%,0.00%,$75.00,$0.00,3,0
B01NBXZLAT,B01MUHXIUZ,"Southern Marsh, Trucker Hat - Hunting Dog, Burnt Orange, One Size",72,1,0.30%,0.46%,102,1,0.33%,0.37%,100.00%,100.00%,3,0,4.17%,0.00%,$45.00,$0.00,3,0
B00KZ1DH8G,B076JHFKJZ,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Washed Oatmeal, Small",80,1,0.33%,0.46%,101,1,0.33%,0.37%,100.00%,0.00%,3,0,3.75%,0.00%,$105.00,$0.00,3,0
B0865TY19J,B08R13CNH8,"Southern Marsh Seawash Swim Trunks - Colorblock, Teal & Coral, Medium",36,1,0.15%,0.46%,44,1,0.14%,0.37%,100.00%,100.00%,3,0,8.33%,0.00%,$88.50,$0.00,3,0
B08WZBRP1D,B08WYRCSH1,"Southern Marsh Tour Visor, White with Navy, 0",34,0,0.14%,0.00%,48,0,0.16%,0.00%,100.00%,0.00%,3,0,8.82%,0.00%,$75.00,$0.00,3,0
B09TG8HQDR,B09TGCXWYG,"Southern Marsh Men's Teal Takeoff T-Shirt, Short Sleeve Tee, Washed Slate, Large",20,0,0.08%,0.00%,28,0,0.09%,0.00%,92.00%,0.00%,3,0,15.00%,0.00%,$105.00,$0.00,3,0
B097S37XXZ,B09TGDGCXH,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, Large",58,0,0.24%,0.00%,79,0,0.26%,0.00%,100.00%,0.00%,3,0,5.17%,0.00%,$120.00,$0.00,3,0
B097S5DHZZ,B09TGJGZMM,"Southern Marsh Men's Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, XX-Large",16,0,0.07%,0.00%,21,0,0.07%,0.00%,100.00%,0.00%,3,0,18.75%,0.00%,$75.00,$0.00,3,0
B0BJS7JQ9C,B0BZWMRD6F,"Southern Marsh Men's SEAWASH Branding - Tradition T-Shirt, Short Sleeve Tee, Terracotta, Large",60,0,0.25%,0.00%,86,0,0.28%,0.00%,100.00%,0.00%,3,0,5.00%,0.00%,$90.00,$0.00,3,0
B00KZ1DH8G,B00K3C66SK,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Bimini Green, X-Large",105,0,0.44%,0.00%,123,0,0.40%,0.00%,100.00%,0.00%,2,0,1.90%,0.00%,$70.00,$0.00,2,0
B09GTXKG3C,B00KZ1C5SY,"Southern Marsh Dockside Swim Trunks, Aqua Blue, Medium",7,0,0.03%,0.00%,14,0,0.05%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$118.00,$0.00,2,0
